ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Year,Month,Quarter,Month_Name,Quarter_Name,Year_Month,Region,Revenue,Estimated_Cost,Estimated_Profit,Estimated_Profit_Margin,SALES_CATEGORY
10107,30,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,NA,Yu,Kwai,Small,2003,2,1,February,Q1,2003-02,NA,2871.0,1710.0,1161.0,40.43887147335423,Low
10121,34,81.35,5,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,N/A,Reims,N/A,51100,France,EMEA,Henriot,Paul,Small,2003,5,2,May,Q2,2003-05,EMEA,2765.9,1938.0,827.9000000000001,29.932390903503382,Low
10134,41,94.74,2,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,EMEA,Da Cunha,Daniel,Medium,2003,7,3,July,Q3,2003-07,EMEA,3884.34,2337.0,1547.3400000000001,39.83533882203927,Medium
10145,45,83.26,6,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,2003,8,3,August,Q3,2003-08,NA,3746.7,2565.0,1181.6999999999998,31.53975498438626,Medium
10159,49,100.0,14,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,NA,Brown,Julie,Medium,2003,10,4,October,Q4,2003-10,NA,5205.27,2793.0,2412.2700000000004,46.34284100536572,Medium
10168,36,96.66,1,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2003,10,4,October,Q4,2003-10,NA,3479.76,2052.0,1427.7600000000002,41.03041589075109,Medium
10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",N/A,Lille,N/A,59000,France,EMEA,Rance,Martine,Small,2003,11,4,November,Q4,2003-11,EMEA,2497.77,1653.0,844.77,33.82096830372692,Low
10188,48,100.0,1,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,N/A,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11,4,November,Q4,2003-11,EMEA,5512.32,2736.0,2776.3199999999997,50.36572622779519,Medium
10201,22,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,NA,Murphy,Julie,Small,2003,12,4,December,Q4,2003-12,NA,2168.54,1254.0,914.54,42.17307497210104,Low
10211,41,100.0,14,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,N/A,75016,France,EMEA,Perrier,Dominique,Medium,2004,1,1,January,Q1,2004-01,EMEA,4708.44,2337.0,2371.4399999999996,50.36572622779519,Medium
10223,37,100.0,1,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,2,1,February,Q1,2004-02,APAC,3965.66,2109.0,1856.6599999999999,46.81843627542452,Medium
10237,23,100.0,7,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small,2004,4,2,April,Q2,2004-04,NA,2333.12,1311.0,1022.1199999999999,43.80914826498422,Low
10251,28,100.0,2,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,N/A,Newark,NJ,94019,USA,NA,Brown,William,Medium,2004,5,2,May,Q2,2004-05,NA,3188.64,1596.0,1592.6399999999999,49.94731296101159,Medium
10263,34,100.0,2,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,2004,6,2,June,Q2,2004-06,NA,3676.76,1938.0,1738.7600000000002,47.290549287960054,Medium
10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,EMEA,Labrune,Janine,Medium,2004,7,3,July,Q3,2004-07,EMEA,4177.35,2565.0,1612.3500000000004,38.59743617365076,Medium
